towerOddCore,maxAttachmentHeight,branchDepth,colorIndex
793,2,11,11
795,0,14,1
797,3,25,12
799,0,15,2
801,0,11,11
803,3,3,3
805,2,4,4
807,0,12,12
809,1,8,8
811,0,29,3
813,0,11,11
815,1,28,2
817,0,11,11
819,0,11,11
821,1,7,7
823,2,28,2
825,0,27,1
827,1,10,10
829,0,14,1
831,0,26,0
833,1,6,6
835,0,29,3
837,0,12,12
839,1,15,2
841,2,9,9
843,0,10,10
845,1,12,12
847,2,5,5
849,0,11,11
851,1,9,9
853,0,2,2
855,0,13,0
857,1,5,5
859,2,29,3
861,0,20,7
863,1,8,8
865,0,28,2
867,0,6,6
869,1,7,7
871,0,28,2
873,0,27,1
875,1,3,3
877,2,15,2
879,0,29,3
881,1,25,12
883,0,5,5
885,0,26,0
887,1,14,1
889,0,23,10
891,0,5,5
893,1,11,11
895,2,14,1
897,0,15,2
899,1,24,11
901,2,12,12
903,0,22,9
905,1,13,0
907,0,9,9
909,0,2,2
911,3,7,7
913,2,29,3
915,0,29,3
917,1,10,10
919,2,29,3
921,0,29,3
923,1,15,2
925,0,27,1
927,0,13,0
929,1,27,1
931,2,10,10
933,0,14,1
935,1,26,0
937,0,18,5
939,0,11,11
941,1,27,1
943,0,6,6
945,0,9,9
947,1,9,9
949,2,10,10
951,0,4,4
953,1,5,5
955,0,4,4
957,0,9,9
959,1,20,7
961,0,12,12
963,0,12,12
965,1,5,5
967,2,29,3
969,0,12,12
971,1,8,8
973,0,19,6
975,0,28,2
977,1,17,4
979,0,11,11
981,0,5,5
983,1,27,1
985,2,3,3
987,0,6,6
989,1,14,1
991,4,12,12
993,0,15,2
995,1,4,4
997,0,14,1
999,0,10,10
1001,1,23,10
1003,2,5,5
1007,1,14,1
1013,1,23,10
1019,1,13,0
1021,2,9,9
1025,1,7,7
1031,1,7,7
1037,1,29,3
1039,2,15,2
1043,1,26,0
1049,1,15,2
1055,1,18,5
1057,2,11,11
1061,1,26,0
1063,2,15,2
1067,1,12,12
1073,3,4,4
1075,2,4,4
1079,1,8,8
1085,1,11,11
1091,1,12,12
1093,2,8,8
1097,1,28,2
1103,1,10,10
1109,1,3,3
1111,2,6,6
1115,1,12,12
1121,1,9,9
1127,1,23,10
1129,2,5,5
1133,1,10,10
1139,3,14,1
1145,1,29,3
1147,2,13,0
1151,1,10,10
1157,1,8,8
1163,1,28,2
1169,1,15,2
1175,1,25,12
1181,1,15,2
1187,1,12,12
1193,1,14,1
1199,1,15,2
1201,2,12,12
1205,1,3,3
1211,1,12,12
1217,1,29,3
1223,1,28,2
1225,2,29,3
1229,1,11,11
1235,3,27,1
1241,1,10,10
1247,1,26,0
1253,3,28,2
1255,2,12,12
1259,1,15,2
1265,1,10,10
1271,1,5,5
1277,1,9,9
1283,1,13,0
1289,1,29,3
1291,2,13,0
1295,1,8,8
1301,1,6,6
1307,1,28,2
1309,2,28,2
1313,1,3,3
1319,1,29,3
1321,0,13,0
1325,1,5,5
1331,1,14,1
1333,2,25,12
1337,1,5,5
1343,1,14,1
1349,1,24,11
1355,1,22,9
1361,1,9,9
1363,2,12,12
1367,1,7,7
1373,1,29,3
1379,1,29,3
1385,1,15,2
1391,1,13,0
1397,3,9,9
1403,1,26,0
1409,1,11,11
1415,1,6,6
1417,2,15,2
1421,1,9,9
1427,1,4,4
1433,1,4,4
1435,0,13,0
1439,1,20,7
1445,1,12,12
1451,1,29,3
1453,2,13,0
1457,1,8,8
1463,1,28,2
1469,1,11,11
1471,2,28,2
1475,1,27,1
1481,1,6,6
1487,1,12,12
1493,1,4,4
1499,1,10,10
1505,1,5,5
1511,1,14,1
1525,2,22,9
1529,1,13,0
1547,1,7,7
1549,2,28,2
1559,1,15,2
1565,1,26,0
1579,2,26,0
1583,1,18,5
1595,1,15,2
1601,1,12,12
1613,1,4,4
1615,2,12,12
1619,1,8,8
1633,2,29,3
1637,1,12,12
1655,1,10,10
1667,1,6,6
1673,1,12,12
1687,2,10,10
1691,1,23,10
1709,1,14,1
1721,1,13,0
1727,1,10,10
1741,2,7,7
1745,1,28,2
1763,1,25,12
1777,2,25,12
1781,1,12,12
1795,2,15,2
1799,1,15,2
1807,0,23,10
1817,1,12,12
1835,1,28,2
1845,0,10,10
1853,1,27,1
1871,1,26,0
1883,3,11,11
1889,1,15,2
1903,2,23,10
1907,1,5,5
1925,1,13,0
1937,1,13,0
1943,1,8,8
1961,1,28,2
1979,1,29,3
1997,1,14,1
2015,1,14,1
2033,1,22,9
2045,3,11,11
2051,1,7,7
2065,2,28,2
2069,1,29,3
2087,1,13,0
2105,1,26,0
2119,2,11,11
2123,1,6,6
2125,4,26,0
2141,1,4,4
2153,3,12,12
2159,1,20,7
2177,1,29,3
2195,1,28,2
2207,1,28,2
2213,1,27,1
2227,2,29,3
2231,1,12,12
2249,1,10,10
2267,1,14,1
2287,4,16,3
2321,1,7,7
2339,1,15,2
2369,3,25,12
2375,1,18,5
2389,2,6,6
2393,1,15,2
2423,1,12,12
2429,1,8,8
2483,1,10,10
2501,1,6,6
2531,1,10,10
2537,1,23,10
2551,2,14,1
2591,1,10,10
2595,0,20,7
2645,1,25,12
2683,2,11,11
2693,1,15,2
2699,1,15,2
2711,3,22,9
2753,1,28,2
2807,1,26,0
2825,1,11,11
2833,0,27,1
2855,1,23,10
2861,1,5,5
2915,1,8,8
2969,1,29,3
3007,2,18,5
3019,2,11,11
3023,1,14,1
3037,2,15,2
3049,0,17,4
3077,1,7,7
3131,1,13,0
3135,0,14,1
3179,1,11,11
3185,1,6,6
3239,1,20,7
3293,1,28,2
3311,1,28,2
3341,1,29,3
3347,1,12,12
3349,2,12,12
3397,2,11,11
3401,1,14,1
3431,1,16,3
3509,1,15,2
3523,2,13,0
3563,1,18,5
3577,2,11,11
3635,1,12,12
3725,1,10,10
3797,1,10,10
3827,3,13,0
3887,1,10,10
3893,3,19,6
4009,2,18,5
4025,1,11,11
4049,1,15,2
4067,1,22,9
4211,1,26,0
4283,1,23,10
4373,1,8,8
4465,4,12,12
4511,1,18,5
4529,1,11,11
4535,1,14,1
4697,1,13,0
4703,5,13,0
4769,1,11,11
4819,2,23,10
4859,1,20,7
4967,1,28,2
5021,1,12,12
5147,1,16,3
5285,1,13,0
5345,1,18,5
5453,1,12,12
5467,2,20,7
5741,1,13,0
5791,2,16,3
5831,1,10,10
5871,0,15,2
5953,0,13,0
6101,1,22,9
6151,2,20,7
6317,1,26,0
6425,1,23,10
6715,2,27,1
6767,1,18,5
6803,1,14,1
7055,1,13,0
7229,1,23,10
7289,1,20,7
7381,2,10,10
7451,1,28,2
7555,2,27,1
7721,1,16,3
8131,0,18,5
8201,1,20,7
8383,2,28,2
8687,1,16,3
8747,1,10,10
8807,3,14,1
8953,4,27,1
9227,1,20,7
9841,2,10,10
10073,1,27,1
10151,1,18,5
10205,1,14,1
10381,2,20,7
10583,1,13,0
11177,1,28,2
11333,1,27,1
11937,0,28,2
12197,3,17,4
12541,0,14,1
12575,1,28,2
13031,1,16,3
13121,1,10,10
13211,1,14,1
13841,1,20,7
14455,2,18,5
14863,2,14,1
15227,1,18,5
15875,1,13,0
17131,2,18,5
18863,1,28,2
19273,2,18,5
19547,1,16,3
19817,1,14,1
20875,0,16,3
21683,1,18,5
21991,2,16,3
22295,1,14,1
22841,1,18,5
23485,2,15,2
23813,1,13,0
25697,1,18,5
28295,1,28,2
29321,1,16,3
31313,3,15,2
32525,1,18,5
32987,1,16,3
33443,1,14,1
37111,2,16,3
42443,1,28,2
47749,2,28,2
49481,1,16,3
50165,1,14,1
55667,1,16,3
63665,1,28,2
83501,1,16,3
