number,definiteConnectedNumber,optionalConnectedNumber,distanceFromRoot,towerHeight,factorCount,primeFactorization,primeNumberSystem
1292,2584,,101,2,3,"2^2 * 17^1 * 19^1",11000002
1294,2588,431,39,1,2,"2^1 * 647^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1295,2590,,39,0,3,"5^1 * 7^1 * 37^1",100000001100
1298,2596,,145,1,3,"2^1 * 11^1 * 59^1",10000000000010001
1300,2600,433,26,2,3,"2^2 * 5^2 * 13^1",100202
1301,2602,,26,0,1,"1301^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1304,2608,,26,3,2,"2^3 * 163^1",10000000000000000000000000000000000003
1306,2612,435,26,1,2,"2^1 * 653^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1307,2614,,176,0,1,"1307^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1309,2618,,145,0,3,"7^1 * 11^1 * 17^1",1011000
1310,2620,,145,1,3,"2^1 * 5^1 * 131^1",10000000000000000000000000000101
1312,2624,437,114,5,2,"2^5 * 41^1",1000000000005
1313,2626,,26,0,2,"13^1 * 101^1",10000000000000000000100000
1316,2632,,52,2,3,"2^2 * 7^1 * 47^1",100000000001002
1318,2636,439,52,1,2,"2^1 * 659^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1319,2638,,145,0,1,"1319^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1322,2644,,114,1,2,"2^1 * 661^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1324,2648,441,26,2,2,"2^2 * 331^1",1000000000000000000000000000000000000000000000000000000000000000002
1325,2650,,26,0,2,"5^2 * 53^1",1000000000000200
1328,2656,,114,4,2,"2^4 * 83^1",10000000000000000000004
1330,2660,443,52,1,4,"2^1 * 5^1 * 7^1 * 19^1",10001101
1331,2662,,52,0,1,"11^3",30000
1333,2666,,114,0,2,"31^1 * 43^1",10010000000000
1334,2668,,145,1,3,"2^1 * 23^1 * 29^1",1100000001
1336,2672,445,70,3,2,"2^3 * 167^1",100000000000000000000000000000000000003
1337,2674,,44,0,2,"7^1 * 191^1",1000000000000000000000000000000000000001000
1340,2680,,70,2,3,"2^2 * 5^1 * 67^1",1000000000000000102
1342,2684,447,96,1,3,"2^1 * 11^1 * 61^1",100000000000010001
1343,2686,,96,0,2,"17^1 * 79^1",1000000000000001000000
1346,2692,,65,1,2,"2^1 * 673^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1348,2696,449,114,2,2,"2^2 * 337^1",10000000000000000000000000000000000000000000000000000000000000000002
1349,2698,,114,0,2,"19^1 * 71^1",10000000000010000000
1352,2704,,52,3,2,"2^3 * 13^2",200003
1354,2708,451,52,1,2,"2^1 * 677^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1355,2710,,114,0,2,"5^1 * 271^1",1000000000000000000000000000000000000000000000000000000100
1358,2716,,65,1,3,"2^1 * 7^1 * 97^1",1000000000000000000001001
1360,2720,453,13,4,3,"2^4 * 5^1 * 17^1",1000104
1361,2722,,52,0,1,"1361^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1363,2726,,65,0,2,"29^1 * 47^1",100001000000000
1364,2728,,13,2,3,"2^2 * 11^1 * 31^1",10000010002
1366,2732,455,39,1,2,"2^1 * 683^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1367,2734,,39,0,1,"1367^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1370,2740,,127,1,3,"2^1 * 5^1 * 137^1",100000000000000000000000000000101
1372,2744,457,127,2,2,"2^2 * 7^3",3002
1373,2746,,127,0,1,"1373^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1376,2752,,34,5,2,"2^5 * 43^1",10000000000005
1378,2756,459,127,1,3,"2^1 * 13^1 * 53^1",1000000000100001
1379,2758,,127,0,2,"7^1 * 197^1",100000000000000000000000000000000000000001000
1382,2764,,127,1,2,"2^1 * 691^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1384,2768,461,34,3,2,"2^3 * 173^1",1000000000000000000000000000000000000003
1385,2770,,65,0,2,"5^1 * 277^1",10000000000000000000000000000000000000000000000000000000100
1388,2776,,127,2,2,"2^2 * 347^1",100000000000000000000000000000000000000000000000000000000000000000002
1390,2780,463,127,1,3,"2^1 * 5^1 * 139^1",1000000000000000000000000000000101
1391,2782,,114,0,2,"13^1 * 107^1",1000000000000000000000100000
1394,2788,,127,1,3,"2^1 * 17^1 * 41^1",1000001000001
1396,2792,465,34,2,2,"2^2 * 349^1",1000000000000000000000000000000000000000000000000000000000000000000002
1397,2794,,34,0,2,"11^1 * 127^1",1000000000000000000000000010000
1400,2800,,83,3,3,"2^3 * 5^2 * 7^1",1203
1402,2804,467,83,1,2,"2^1 * 701^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1403,2806,,127,0,2,"23^1 * 61^1",100000000100000000
1406,2812,,171,1,3,"2^1 * 19^1 * 37^1",100010000001
1408,2816,469,21,7,2,"2^7 * 11^1",10007
1409,2818,,83,0,1,"1409^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1412,2824,,127,2,2,"2^2 * 353^1",10000000000000000000000000000000000000000000000000000000000000000000002
1414,2828,471,127,1,3,"2^1 * 7^1 * 101^1",10000000000000000000001001
1415,2830,,34,0,2,"5^1 * 283^1",1000000000000000000000000000000000000000000000000000000000100
1417,2834,,78,0,2,"13^1 * 109^1",10000000000000000000000100000
1418,2836,,34,1,2,"2^1 * 709^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1420,2840,473,34,2,3,"2^2 * 5^1 * 71^1",10000000000000000102
1421,2842,,34,0,2,"7^2 * 29^1",1000002000
1424,2848,,34,4,2,"2^4 * 89^1",100000000000000000000004
1426,2852,475,26,1,3,"2^1 * 23^1 * 31^1",10100000001
1427,2854,,26,0,1,"1427^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1430,2860,,26,1,4,"2^1 * 5^1 * 11^1 * 13^1",110101
1432,2864,477,34,3,2,"2^3 * 179^1",10000000000000000000000000000000000000003
1433,2866,,26,0,1,"1433^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1436,2872,,52,2,2,"2^2 * 359^1",100000000000000000000000000000000000000000000000000000000000000000000002
1438,2876,479,52,1,2,"2^1 * 719^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1439,2878,,127,0,1,"1439^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1442,2884,,47,1,3,"2^1 * 7^1 * 103^1",100000000000000000000001001
1444,2888,481,47,2,2,"2^2 * 19^2",20000002
1445,2890,,47,0,2,"5^1 * 17^2",2000100
1448,2896,,21,3,2,"2^3 * 181^1",100000000000000000000000000000000000000003
1450,2900,483,21,1,3,"2^1 * 5^2 * 29^1",1000000201
1451,2902,,140,0,1,"1451^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1453,2906,,47,0,1,"1453^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1454,2908,,47,1,2,"2^1 * 727^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1456,2912,485,96,4,3,"2^4 * 7^1 * 13^1",101004
1457,2914,,34,0,2,"31^1 * 47^1",100010000000000
1460,2920,,96,2,3,"2^2 * 5^1 * 73^1",100000000000000000102
1462,2924,487,140,1,3,"2^1 * 17^1 * 43^1",10000001000001
1463,2926,,140,0,3,"7^1 * 11^1 * 19^1",10011000
1466,2932,,96,1,2,"2^1 * 733^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1468,2936,489,47,2,2,"2^2 * 367^1",1000000000000000000000000000000000000000000000000000000000000000000000002
1469,2938,,47,0,2,"13^1 * 113^1",100000000000000000000000100000
1471,2942,,171,0,1,"1471^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1472,2944,,21,6,2,"2^6 * 23^1",100000006
1474,2948,491,140,1,3,"2^1 * 11^1 * 67^1",1000000000000010001
1475,2950,,140,0,2,"5^2 * 59^1",10000000000000200
1478,2956,,21,1,2,"2^1 * 739^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1480,2960,493,47,3,3,"2^3 * 5^1 * 37^1",100000000103
1481,2962,,34,0,1,"1481^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1484,2968,,47,2,3,"2^2 * 7^1 * 53^1",1000000000001002
1486,2972,495,96,1,2,"2^1 * 743^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1487,2974,,96,0,1,"1487^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1490,2980,,91,1,3,"2^1 * 5^1 * 149^1",10000000000000000000000000000000101
1492,2984,497,21,2,2,"2^2 * 373^1",10000000000000000000000000000000000000000000000000000000000000000000000002
1493,2986,,21,0,1,"1493^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1496,2992,,47,3,3,"2^3 * 11^1 * 17^1",1010003
1498,2996,499,47,1,3,"2^1 * 7^1 * 107^1",1000000000000000000000001001
1499,2998,,47,0,1,"1499^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1502,3004,,140,1,2,"2^1 * 751^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1504,3008,501,109,5,2,"2^5 * 47^1",100000000000005
1505,3010,,39,0,3,"5^1 * 7^1 * 43^1",10000000001100
1510,3020,503,65,1,3,"2^1 * 5^1 * 151^1",100000000000000000000000000000000101
1511,3022,,91,0,1,"1511^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1516,3032,505,60,2,2,"2^2 * 379^1",100000000000000000000000000000000000000000000000000000000000000000000000002
1520,3040,,109,4,3,"2^4 * 5^1 * 19^1",10000104
1522,3044,507,34,1,2,"2^1 * 761^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1525,3050,,109,0,2,"5^2 * 61^1",100000000000000200
1528,3056,509,47,3,2,"2^3 * 191^1",1000000000000000000000000000000000000000003
1529,3058,,60,0,2,"11^1 * 139^1",1000000000000000000000000000010000
1532,3064,,47,2,2,"2^2 * 383^1",1000000000000000000000000000000000000000000000000000000000000000000000000002
1534,3068,511,60,1,3,"2^1 * 13^1 * 59^1",10000000000100001
1538,3076,,34,1,2,"2^1 * 769^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1540,3080,513,34,2,4,"2^2 * 5^1 * 7^1 * 11^1",11102
1546,3092,515,122,1,2,"2^1 * 773^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1547,3094,,34,0,3,"7^1 * 13^1 * 17^1",1101000
1549,3098,,122,0,1,"1549^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1552,3104,517,122,4,2,"2^4 * 97^1",1000000000000000000000004
1556,3112,,122,2,2,"2^2 * 389^1",10000000000000000000000000000000000000000000000000000000000000000000000000002
1558,3116,519,60,1,3,"2^1 * 19^1 * 41^1",1000010000001
1559,3118,,60,0,1,"1559^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1564,3128,521,122,2,3,"2^2 * 17^1 * 23^1",101000002
1565,3130,,122,0,2,"5^1 * 313^1",10000000000000000000000000000000000000000000000000000000000000100
1570,3140,523,122,1,3,"2^1 * 5^1 * 157^1",1000000000000000000000000000000000101
1574,3148,,60,1,2,"2^1 * 787^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1576,3152,525,29,3,2,"2^3 * 197^1",100000000000000000000000000000000000000000003
1579,3158,,122,0,1,"1579^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1582,3164,527,78,1,3,"2^1 * 7^1 * 113^1",100000000000000000000000001001
1583,3166,,166,0,1,"1583^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1586,3172,,78,1,3,"2^1 * 13^1 * 61^1",100000000000100001
1588,3176,529,29,2,2,"2^2 * 397^1",100000000000000000000000000000000000000000000000000000000000000000000000000002
1592,3184,,122,3,2,"2^3 * 199^1",1000000000000000000000000000000000000000000003
1594,3188,531,122,1,2,"2^1 * 797^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1595,3190,,73,0,3,"5^1 * 11^1 * 29^1",1000010100
1600,3200,533,29,6,2,"2^6 * 5^2",206
1601,3202,,60,0,1,"1601^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1606,3212,535,21,1,3,"2^1 * 11^1 * 73^1",100000000000000010001
1610,3220,,21,1,4,"2^1 * 5^1 * 7^1 * 23^1",100001101
1612,3224,537,21,2,3,"2^2 * 13^1 * 31^1",10000100002
1613,3226,,21,0,1,"1613^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1615,3230,,73,0,3,"5^1 * 17^1 * 19^1",11000100
1618,3236,539,47,1,2,"2^1 * 809^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1619,3238,,47,0,1,"1619^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1624,3248,541,42,3,3,"2^3 * 7^1 * 29^1",1000001003
1628,3256,,42,2,3,"2^2 * 11^1 * 37^1",100000010002
1630,3260,543,135,1,3,"2^1 * 5^1 * 163^1",10000000000000000000000000000000000101
1633,3266,,135,0,2,"23^1 * 71^1",10000000000100000000
1636,3272,545,42,2,2,"2^2 * 409^1",10000000000000000000000000000000000000000000000000000000000000000000000000000002
1637,3274,,42,0,1,"1637^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1640,3280,,29,3,3,"2^3 * 5^1 * 41^1",1000000000103
1642,3284,547,29,1,2,"2^1 * 821^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1646,3292,,135,1,2,"2^1 * 823^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1648,3296,549,91,4,2,"2^4 * 103^1",100000000000000000000000004
1654,3308,551,42,1,2,"2^1 * 827^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1655,3310,,42,0,2,"5^1 * 331^1",1000000000000000000000000000000000000000000000000000000000000000100
1660,3320,553,135,2,3,"2^2 * 5^1 * 83^1",10000000000000000000102
1664,3328,,16,7,2,"2^7 * 13^1",100007
1666,3332,555,29,1,3,"2^1 * 7^2 * 17^1",1002001
1667,3334,,29,0,1,"1667^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1672,3344,557,42,3,3,"2^3 * 11^1 * 19^1",10010003
1673,3346,,91,0,2,"7^1 * 239^1",1000000000000000000000000000000000000000000000001000
1678,3356,559,86,1,2,"2^1 * 839^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1682,3364,,42,1,2,"2^1 * 29^2",2000000001
1684,3368,561,42,2,2,"2^2 * 421^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000002
1687,3374,,42,0,2,"7^1 * 241^1",10000000000000000000000000000000000000000000000001000
1690,3380,563,42,1,3,"2^1 * 5^1 * 13^2",200101
1691,3382,,135,0,2,"19^1 * 89^1",100000000000000010000000
1694,3388,,34,1,3,"2^1 * 7^1 * 11^2",21001
1696,3392,565,16,5,2,"2^5 * 53^1",1000000000000005
1700,3400,,60,2,3,"2^2 * 5^2 * 17^1",1000202
1702,3404,567,60,1,3,"2^1 * 23^1 * 37^1",100100000001
1708,3416,569,55,2,3,"2^2 * 7^1 * 61^1",100000000000001002
1709,3418,,55,0,1,"1709^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1714,3428,571,29,1,2,"2^1 * 857^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1718,3436,,148,1,2,"2^1 * 859^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1720,3440,573,104,3,3,"2^3 * 5^1 * 43^1",10000000000103
1721,3442,,55,0,1,"1721^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1726,3452,575,42,1,2,"2^1 * 863^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1727,3454,,55,0,2,"11^1 * 157^1",1000000000000000000000000000000010000
1732,3464,577,29,2,2,"2^2 * 433^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000002
1736,3472,,29,3,3,"2^3 * 7^1 * 31^1",10000001003
1738,3476,579,29,1,3,"2^1 * 11^1 * 79^1",1000000000000000010001
1741,3482,,29,0,1,"1741^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1744,3488,581,117,4,2,"2^4 * 109^1",10000000000000000000000000004
1745,3490,,148,0,2,"5^1 * 349^1",1000000000000000000000000000000000000000000000000000000000000000000100
1750,3500,583,29,1,3,"2^1 * 5^3 * 7^1",1301
1754,3508,,55,1,2,"2^1 * 877^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1756,3512,585,55,2,2,"2^2 * 439^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000002
1762,3524,587,117,1,2,"2^1 * 881^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1763,3526,,117,0,2,"41^1 * 43^1",11000000000000
1768,3536,589,117,3,3,"2^3 * 13^1 * 17^1",1100003
1772,3544,,55,2,2,"2^2 * 443^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000002
1774,3548,591,55,1,2,"2^1 * 887^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1777,3554,,117,0,1,"1777^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1780,3560,593,73,2,3,"2^2 * 5^1 * 89^1",100000000000000000000102
1781,3562,,73,0,2,"13^1 * 137^1",100000000000000000000000000100000
1786,3572,595,73,1,3,"2^1 * 19^1 * 47^1",100000010000001
1790,3580,,99,1,3,"2^1 * 5^1 * 179^1",10000000000000000000000000000000000000101
1792,3584,597,24,8,2,"2^8 * 7^1",1008
1795,3590,,68,0,2,"5^1 * 359^1",100000000000000000000000000000000000000000000000000000000000000000000100
1798,3596,599,117,1,3,"2^1 * 29^1 * 31^1",11000000001
1799,3598,,68,0,2,"7^1 * 257^1",1000000000000000000000000000000000000000000000000001000
1802,3604,,55,1,3,"2^1 * 17^1 * 53^1",1000000001000001
1804,3608,601,55,2,3,"2^2 * 11^1 * 41^1",1000000010002
1808,3616,,16,4,2,"2^4 * 113^1",100000000000000000000000000004
1810,3620,603,68,1,3,"2^1 * 5^1 * 181^1",100000000000000000000000000000000000000101
1816,3632,605,16,3,2,"2^3 * 227^1",1000000000000000000000000000000000000000000000003
1817,3634,,68,0,2,"23^1 * 79^1",1000000000000100000000
1822,3644,607,42,1,2,"2^1 * 911^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1826,3652,,130,1,3,"2^1 * 11^1 * 83^1",10000000000000000010001
1828,3656,609,130,2,2,"2^2 * 457^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000002
1834,3668,611,37,1,3,"2^1 * 7^1 * 131^1",10000000000000000000000000001001
1835,3670,,130,0,2,"5^1 * 367^1",1000000000000000000000000000000000000000000000000000000000000000000000100
1838,3676,,130,1,2,"2^1 * 919^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1840,3680,613,37,4,3,"2^4 * 5^1 * 23^1",100000104
1844,3688,,37,2,2,"2^2 * 461^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000002
1846,3692,615,68,1,3,"2^1 * 13^1 * 71^1",10000000000000100001
1852,3704,617,130,2,2,"2^2 * 463^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000002
1853,3706,,130,0,2,"17^1 * 109^1",10000000000000000000001000000
1858,3716,619,130,1,2,"2^1 * 929^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1862,3724,,37,1,3,"2^1 * 7^2 * 19^1",10002001
1864,3728,621,86,3,2,"2^3 * 233^1",100000000000000000000000000000000000000000000000003
1870,3740,623,130,1,4,"2^1 * 5^1 * 11^1 * 17^1",1010101
1871,3742,,130,0,1,"1871^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1876,3752,625,24,2,3,"2^2 * 7^1 * 67^1",1000000000000001002
1880,3760,,130,3,3,"2^3 * 5^1 * 47^1",100000000000103
1882,3764,627,130,1,2,"2^1 * 941^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1883,3766,,86,0,2,"7^1 * 269^1",100000000000000000000000000000000000000000000000000001000
1888,3776,629,37,5,2,"2^5 * 59^1",10000000000000005
1889,3778,,81,0,1,"1889^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1894,3788,631,37,1,2,"2^1 * 947^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1898,3796,,37,1,3,"2^1 * 13^1 * 73^1",100000000000000100001
1900,3800,633,29,2,3,"2^2 * 5^2 * 19^1",10000202
1903,3806,,130,0,2,"11^1 * 173^1",1000000000000000000000000000000000010000
1906,3812,635,29,1,2,"2^1 * 953^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1907,3814,,29,0,1,"1907^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1912,3824,637,55,3,2,"2^3 * 239^1",1000000000000000000000000000000000000000000000000003
1916,3832,,55,2,2,"2^2 * 479^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002
1918,3836,639,130,1,3,"2^1 * 7^1 * 137^1",100000000000000000000000000001001
1924,3848,641,50,2,3,"2^2 * 13^1 * 37^1",100000100002
1925,3850,,50,0,3,"5^2 * 7^1 * 11^1",11200
1930,3860,643,24,1,3,"2^1 * 5^1 * 193^1",10000000000000000000000000000000000000000101
1934,3868,,143,1,2,"2^1 * 967^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1936,3872,645,99,4,2,"2^4 * 11^2",20004
1937,3874,,50,0,2,"13^1 * 149^1",10000000000000000000000000000100000
1942,3884,647,37,1,2,"2^1 * 971^1",10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1943,3886,,37,0,2,"29^1 * 67^1",1000000001000000000
1948,3896,649,143,2,2,"2^2 * 487^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002
1952,3904,,24,5,2,"2^5 * 61^1",100000000000000005
1954,3908,651,99,1,2,"2^1 * 977^1",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1960,3920,653,24,3,3,"2^3 * 5^1 * 7^2",2103
1961,3922,,174,0,2,"37^1 * 53^1",1000100000000000
1964,3928,,143,2,2,"2^2 * 491^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002
1966,3932,655,143,1,2,"2^1 * 983^1",1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
1970,3940,,24,1,3,"2^1 * 5^1 * 197^1",100000000000000000000000000000000000000000101
1972,3944,657,50,2,3,"2^2 * 17^1 * 29^1",1001000002
