number,definiteConnectedNumber,optionalConnectedNumber,distanceFromRoot,towerHeight,factorCount,primeFactorization,primeNumberSystem
127,254,,46,0,1,"127^1",1000000000000000000000000000000
128,256,,7,7,1,"2^7",7
129,258,,121,0,2,"3^1 * 43^1",10000000000010
130,260,43,28,1,3,"2^1 * 5^1 * 13^1",100101
131,262,,28,0,1,"131^1",10000000000000000000000000000000
132,264,,28,2,3,"2^2 * 3^1 * 11^1",10012
133,266,,28,0,2,"7^1 * 19^1",10001000
134,268,,28,1,2,"2^1 * 67^1",1000000000000000001
135,270,,41,0,2,"3^3 * 5^1",130
136,272,45,15,3,2,"2^3 * 17^1",1000003
137,274,,90,0,1,"137^1",100000000000000000000000000000000
138,276,,15,1,3,"2^1 * 3^1 * 23^1",100000011
139,278,,41,0,1,"139^1",1000000000000000000000000000000000
140,280,,15,2,3,"2^2 * 5^1 * 7^1",1102
141,282,,15,0,2,"3^1 * 47^1",100000000000010
142,284,47,103,1,2,"2^1 * 71^1",10000000000000000001
143,286,,103,0,2,"11^1 * 13^1",110000
144,288,,23,4,2,"2^4 * 3^2",24
145,290,,116,0,2,"5^1 * 29^1",1000000100
146,292,,116,1,2,"2^1 * 73^1",100000000000000000001
147,294,,116,0,2,"3^1 * 7^2",2010
148,296,49,23,2,2,"2^2 * 37^1",100000000002
149,298,,23,0,1,"149^1",10000000000000000000000000000000000
150,300,,15,1,3,"2^1 * 3^1 * 5^2",211
151,302,,15,0,1,"151^1",100000000000000000000000000000000000
152,304,,23,3,2,"2^3 * 19^1",10000003
153,306,,36,0,2,"3^2 * 17^1",1000020
154,308,51,23,1,3,"2^1 * 7^1 * 11^1",11001
155,310,,85,0,2,"5^1 * 31^1",10000000100
156,312,,36,2,3,"2^2 * 3^1 * 13^1",100012
157,314,,36,0,1,"157^1",1000000000000000000000000000000000000
158,316,,36,1,2,"2^1 * 79^1",1000000000000000000001
159,318,,54,0,2,"3^1 * 53^1",1000000000000010
160,320,53,10,5,2,"2^5 * 5^1",105
161,322,,98,0,2,"7^1 * 23^1",100001000
162,324,,23,1,2,"2^1 * 3^4",41
163,326,,23,0,1,"163^1",10000000000000000000000000000000000000
164,328,,111,2,2,"2^2 * 41^1",1000000000002
165,330,,111,0,3,"3^1 * 5^1 * 11^1",10110
166,332,55,111,1,2,"2^1 * 83^1",10000000000000000000001
167,334,,67,0,1,"167^1",100000000000000000000000000000000000000
168,336,,10,3,3,"2^3 * 3^1 * 7^1",1013
169,338,,49,0,1,"13^2",200000
170,340,,10,1,3,"2^1 * 5^1 * 17^1",1000101
171,342,,124,0,2,"3^2 * 19^1",10000020
172,344,57,31,2,2,"2^2 * 43^1",10000000000002
173,346,,31,0,1,"173^1",1000000000000000000000000000000000000000
174,348,,31,1,3,"2^1 * 3^1 * 29^1",1000000011
175,350,,80,0,2,"5^2 * 7^1",1200
176,352,,18,4,2,"2^4 * 11^1",10004
177,354,,31,0,2,"3^1 * 59^1",10000000000000010
178,356,59,31,1,2,"2^1 * 89^1",100000000000000000000001
179,358,,31,0,1,"179^1",10000000000000000000000000000000000000000
